descripcion,monto,moneda,categoria,subcategoria
Suscripción a Netflix,485.23,USD,entretenimiento,streaming
Pasaje en autobús,2313.47,MXN,transporte,público
Desayuno en Starbucks,237.48,MXN,comida,cafeterías
Pasaje en autobús,259.76,MXN,transporte,público
Compra en Walmart,923.79,USD,compras,supermercado
Concierto local,1765.14,MXN,entretenimiento,eventos
Restaurante Italiano,1427.99,USD,comida,restaurantes
Pago de agua,384.56,MXN,servicios,agua
Plan familiar Spotify,396.98,USD,entretenimiento,streaming
Medicinas en farmacia,960.04,MXN,salud,medicina general
Suscripción a Netflix,395.04,MXN,entretenimiento,streaming
Pago de luz CFE,1316.33,MXN,servicios,energía
Cita con el dentista,962.3,MXN,salud,especialistas
Medicinas en farmacia,576.89,MXN,salud,medicina general
Velas aromáticas,1278.22,MXN,compras,hogar
Taxi al centro,2053.54,USD,transporte,privado
Adelanto de renta,1356.01,MXN,servicios,renta
Plan familiar Spotify,435.91,USD,entretenimiento,streaming
Boleto para evento cultural,1385.09,USD,entretenimiento,eventos
Consulta médica,1973.99,USD,salud,medicina general
Juego nuevo PS5,580.09,MXN,entretenimiento,videojuegos
Compra en Walmart,1830.66,USD,compras,supermercado
Película en cartelera,2108.85,USD,entretenimiento,cine
Medicinas en farmacia,1131.22,USD,salud,medicina general
Mandado del mes,933.98,MXN,compras,supermercado
Material para clases,68.31,USD,educación,materiales
Compra en Walmart,728.21,MXN,compras,supermercado
Compra en Amazon Prime,2208.55,USD,compras,tecnología
Medicinas en farmacia,1894.31,MXN,salud,medicina general
Pago de agua,845,MXN,servicios,agua
Suscripción a app de edición,1176.81,MXN,compras,digital
Factura de agua,995.27,MXN,servicios,agua
Inscripción semestre,785.26,USD,educación,universidad
Viaje en Uber,1029.15,USD,transporte,privado
Plan familiar Spotify,1104.63,USD,entretenimiento,streaming
Café en el campus,513.2,USD,comida,cafeterías
Plan familiar Spotify,1164.34,MXN,entretenimiento,streaming
Inscripción a taller,2085.61,USD,educación,cursos
Inscripción a taller,2399.03,USD,educación,cursos
Proteína en GNC,2425.91,USD,salud,bienestar
Bebida energética,1783.99,USD,comida,bebidas
Pago de agua,297.63,USD,servicios,agua
Vitaminas,2127.65,USD,salud,bienestar
Ropa en Zara,1229.23,MXN,compras,ropa
Sudadera nueva,2203.29,USD,compras,ropa
Entrada al cine,1352.11,MXN,entretenimiento,cine
Chequeo dermatológico,1789.74,MXN,salud,especialistas
Suscripción a app de edición,621.71,USD,compras,digital
Consulta médica,2065.3,USD,salud,medicina general
Pago de agua,1170.54,USD,servicios,agua
Compra en Walmart,723.73,MXN,compras,supermercado
Libros académicos,956.25,MXN,educación,materiales
Pasaje en autobús,279.05,MXN,transporte,público
Proteína en GNC,1905.85,USD,salud,bienestar
Pago de estacionamiento,861.44,MXN,transporte,vehículo personal
Snack en la escuela,2264.95,USD,comida,snacks
Pasaje en autobús,999.99,MXN,transporte,público
Internet mensual,1488.31,MXN,servicios,internet
Material para clases,2214.07,USD,educación,materiales
Decoración para cuarto,1466.89,MXN,compras,hogar
Entrada al cine,1324.53,USD,entretenimiento,cine
Botana en OXXO,1456.8,MXN,comida,snacks
Café en el campus,1593.04,USD,comida,cafeterías
Inscripción semestre,1311.59,USD,educación,universidad
Suscripción a Netflix,244.17,USD,entretenimiento,streaming
Gasolina,1573.78,USD,transporte,vehículo personal
Curso online,1547.31,USD,educación,cursos
Accesorios para laptop,2043,USD,compras,tecnología
Consulta médica,119.4,USD,salud,medicina general
Inscripción semestre,676.67,MXN,educación,universidad
Material para clases,1692.12,USD,educación,materiales
Internet mensual,632.75,USD,servicios,internet
Factura CFE,70.48,USD,servicios,energía
Pasaje en autobús,745.2,USD,transporte,público
Pago de luz CFE,2355.57,USD,servicios,energía
Bebida energética,2174.34,USD,comida,bebidas
Pago de estacionamiento,1048.56,MXN,transporte,vehículo personal
Pago de agua,956.61,MXN,servicios,agua
Medicinas en farmacia,1941.04,USD,salud,medicina general
Gasolina,2483.07,USD,transporte,vehículo personal
Curso online,1528.55,USD,educación,cursos
Inscripción semestre,730.59,MXN,educación,universidad
Accesorios para laptop,822.6,MXN,compras,tecnología
Gasolina,313.74,USD,transporte,vehículo personal
Boleto para evento cultural,793.24,USD,entretenimiento,eventos
Suscripción a Netflix,1457.78,USD,entretenimiento,streaming
Pasaje en autobús,1685.03,USD,transporte,público
Cita con el dentista,159.46,USD,salud,especialistas
Factura de agua,1302.5,USD,servicios,agua
Bebida energética,1867.14,USD,comida,bebidas
Sudadera nueva,638.34,USD,compras,ropa
Plan familiar Spotify,459.26,MXN,entretenimiento,streaming
Pago de colegiatura,2351.32,USD,educación,universidad
Adelanto de renta,1790.64,MXN,servicios,renta
Libros académicos,2146.7,MXN,educación,materiales
Pago de estacionamiento,1556.7,MXN,transporte,vehículo personal
Pago de estacionamiento,1426.33,MXN,transporte,vehículo personal
Compra en Amazon Prime,649.6,MXN,compras,tecnología
Chequeo dermatológico,1290.71,USD,salud,especialistas
Cita con el dentista,610.06,USD,salud,especialistas
Factura de agua,484.02,MXN,servicios,agua
Suscripción a app de edición,1911.48,USD,compras,digital
Libros académicos,243.84,MXN,educación,materiales
Concierto local,1487.01,MXN,entretenimiento,eventos
Velas aromáticas,772.13,USD,compras,hogar
Boleto de metro,564.5,USD,transporte,público
Vitaminas,2277.4,MXN,salud,bienestar
Café en el campus,1050.41,MXN,comida,cafeterías
Pago de Izzi,686.86,MXN,servicios,internet
Vitaminas,779.17,MXN,salud,bienestar
Chequeo dermatológico,1332.44,USD,salud,especialistas
Pago de colegiatura,1306.9,MXN,educación,universidad
Concierto local,143.29,MXN,entretenimiento,eventos
Inscripción semestre,1090.74,USD,educación,universidad
Factura de agua,675.06,MXN,servicios,agua
Membresía online,1373.91,USD,compras,digital
Sudadera nueva,1805.12,USD,compras,ropa
Consulta médica,2398.43,USD,salud,medicina general
Desayuno en Starbucks,2103.5,USD,comida,cafeterías
Membresía online,1285.47,MXN,compras,digital
Compra en Amazon Prime,2092.01,MXN,compras,tecnología
Botana en OXXO,1409.1,USD,comida,snacks
Boleto de metro,736.71,MXN,transporte,público
Restaurante Italiano,993.01,USD,comida,restaurantes
Cena en restaurante japonés,1822.65,USD,comida,restaurantes
Pasaje en autobús,2291.04,MXN,transporte,público
Suscripción a Netflix,2435.46,USD,entretenimiento,streaming
Cena en restaurante japonés,1461.13,MXN,comida,restaurantes
Pago de luz CFE,1931.81,MXN,servicios,energía
Restaurante Italiano,1541.48,USD,comida,restaurantes
Curso online,667.94,USD,educación,cursos
Agua embotellada,1912.97,MXN,comida,bebidas
Material para clases,1936.16,USD,educación,materiales
Cita con el dentista,808.95,MXN,salud,especialistas
Adelanto de renta,2484.04,MXN,servicios,renta
Accesorios para laptop,445.65,MXN,compras,tecnología
Pago de colegiatura,212.63,MXN,educación,universidad
Pago de Izzi,2474.7,USD,servicios,internet
Desayuno en Starbucks,1346.61,MXN,comida,cafeterías
Taxi al centro,1283.79,USD,transporte,privado
Recarga de celular,1565,USD,servicios,telefonía
Chequeo dermatológico,1716.33,USD,salud,especialistas
Pasaje en autobús,317.97,MXN,transporte,público
Medicinas en farmacia,1652.28,MXN,salud,medicina general
Juego nuevo PS5,998.48,USD,entretenimiento,videojuegos
Chequeo dermatológico,2163.5,USD,salud,especialistas
Pago de luz CFE,1931.04,MXN,servicios,energía
Gasolina,317.99,MXN,transporte,vehículo personal
Ropa en Zara,2389.84,MXN,compras,ropa
Curso online,1101.85,MXN,educación,cursos
Snack en la escuela,2374.73,USD,comida,snacks
Botana en OXXO,405.38,MXN,comida,snacks
Inscripción a taller,296.62,MXN,educación,cursos
Boleto de metro,770.68,USD,transporte,público
Curso online,2129.34,MXN,educación,cursos
Taxi al centro,293.14,USD,transporte,privado
Inscripción semestre,1542.09,USD,educación,universidad
Libros académicos,1748.85,MXN,educación,materiales
Compra en Walmart,2194.86,USD,compras,supermercado
Pago de Izzi,1522.32,MXN,servicios,internet
Café en el campus,1346.79,USD,comida,cafeterías
Taxi al centro,980.23,USD,transporte,privado
Decoración para cuarto,2095.66,MXN,compras,hogar
Material para clases,2058.64,MXN,educación,materiales
Ropa en Zara,367.79,MXN,compras,ropa
Inscripción a taller,874.28,MXN,educación,cursos
Libros académicos,1910.51,MXN,educación,materiales
Café en el campus,1834.53,MXN,comida,cafeterías
Boleto para evento cultural,2280.31,USD,entretenimiento,eventos
Curso online,1101.53,USD,educación,cursos
Snack en la escuela,320.12,USD,comida,snacks
Taxi al centro,1604.44,MXN,transporte,privado
Agua embotellada,1255.04,USD,comida,bebidas
Pago de agua,726.71,MXN,servicios,agua
Pasaje en autobús,464.14,MXN,transporte,público
Vitaminas,1463.9,USD,salud,bienestar
Boleto de metro,188.24,USD,transporte,público
Material para clases,687.46,USD,educación,materiales
Adelanto de renta,1742.85,MXN,servicios,renta
Pago de estacionamiento,2105.45,MXN,transporte,vehículo personal
Pago de estacionamiento,79.7,USD,transporte,vehículo personal
Taxi al centro,1787.2,USD,transporte,privado
Plan Telcel mensual,816.59,MXN,servicios,telefonía
Velas aromáticas,505.61,USD,compras,hogar
Libros académicos,64.23,MXN,educación,materiales
Cita con el dentista,856.43,MXN,salud,especialistas
Ropa en Zara,453.59,USD,compras,ropa
Material para clases,212.98,USD,educación,materiales
Concierto local,557.65,USD,entretenimiento,eventos
Inscripción a taller,2057.51,MXN,educación,cursos
Recarga de celular,1609.21,MXN,servicios,telefonía
Adelanto de renta,1678.29,USD,servicios,renta
Plan familiar Spotify,486.79,MXN,entretenimiento,streaming
Inscripción semestre,232.23,USD,educación,universidad
Material para clases,2466.29,MXN,educación,materiales
Bebida energética,125.75,USD,comida,bebidas
Concierto local,1172.42,MXN,entretenimiento,eventos
Proteína en GNC,147.44,USD,salud,bienestar
Sudadera nueva,1974.41,MXN,compras,ropa
Libros académicos,1084.02,MXN,educación,materiales
Velas aromáticas,2173.63,MXN,compras,hogar
Internet mensual,2488.13,MXN,servicios,internet
Taxi al centro,1800.2,USD,transporte,privado
Pasaje en autobús,2441.96,MXN,transporte,público
Consulta médica,1673.81,USD,salud,medicina general
Suscripción a Netflix,1861.59,MXN,entretenimiento,streaming
Boleto para evento cultural,706.79,MXN,entretenimiento,eventos
Agua embotellada,2198.64,MXN,comida,bebidas
Pago de luz CFE,2166.24,MXN,servicios,energía
Curso online,1279.68,MXN,educación,cursos
Decoración para cuarto,1101.85,USD,compras,hogar
Suscripción a Netflix,1129.71,MXN,entretenimiento,streaming
Plan familiar Spotify,2372.38,MXN,entretenimiento,streaming
Compra en Steam,2297.67,MXN,entretenimiento,videojuegos
Viaje en Uber,2131.47,USD,transporte,privado
Boleto de metro,2436.03,USD,transporte,público
Membresía online,1035.5,MXN,compras,digital
Cena en restaurante japonés,1344.15,USD,comida,restaurantes
Restaurante Italiano,453.86,MXN,comida,restaurantes
Chequeo dermatológico,901.35,MXN,salud,especialistas
Medicinas en farmacia,1412.46,USD,salud,medicina general
Factura de agua,1878.98,MXN,servicios,agua
Vitaminas,938.51,MXN,salud,bienestar
Accesorios para laptop,2036.88,MXN,compras,tecnología
Recarga de celular,2097.13,MXN,servicios,telefonía
Vitaminas,1287.05,MXN,salud,bienestar
Juego nuevo PS5,1164,USD,entretenimiento,videojuegos
Vitaminas,1515.27,USD,salud,bienestar
Pago de estacionamiento,973.02,USD,transporte,vehículo personal
Snack en la escuela,583.46,MXN,comida,snacks
Pago de Izzi,708.16,MXN,servicios,internet
Entrada al cine,2300.19,USD,entretenimiento,cine
Factura CFE,460.55,USD,servicios,energía
Ropa en Zara,2477.22,MXN,compras,ropa
Proteína en GNC,2424.98,USD,salud,bienestar
Inscripción a taller,297.19,MXN,educación,cursos
Cita con el dentista,2378.4,USD,salud,especialistas
Proteína en GNC,1336.95,MXN,salud,bienestar
Pago de renta,1435.13,MXN,servicios,renta
Decoración para cuarto,1367.65,MXN,compras,hogar
Pago de renta,697.45,MXN,servicios,renta
Pago de estacionamiento,1972.09,MXN,transporte,vehículo personal
Botana en OXXO,1880.88,USD,comida,snacks
Compra en Steam,1649.27,USD,entretenimiento,videojuegos
Botana en OXXO,194.51,MXN,comida,snacks
Medicinas en farmacia,1262.35,MXN,salud,medicina general
Pago de estacionamiento,1441.4,USD,transporte,vehículo personal
Consulta médica,1910.28,MXN,salud,medicina general
Snack en la escuela,1405.13,USD,comida,snacks
Taxi al centro,397.18,USD,transporte,privado
Material para clases,654.03,MXN,educación,materiales
Material para clases,718.07,MXN,educación,materiales
Concierto local,1936.63,MXN,entretenimiento,eventos
Pago de colegiatura,689.97,MXN,educación,universidad
Suscripción a Netflix,1312.67,MXN,entretenimiento,streaming
Proteína en GNC,361.53,MXN,salud,bienestar
Pago de Izzi,840.84,USD,servicios,internet
Chequeo dermatológico,720.67,USD,salud,especialistas
Vitaminas,2128.44,USD,salud,bienestar
Agua embotellada,1224.29,USD,comida,bebidas
Accesorios para laptop,1443.32,USD,compras,tecnología
Cena en restaurante japonés,767.06,MXN,comida,restaurantes
Pago de estacionamiento,452.12,MXN,transporte,vehículo personal
Viaje en Uber,1806.34,MXN,transporte,privado
Pago de Izzi,488.48,USD,servicios,internet
Vitaminas,384.52,MXN,salud,bienestar
Mandado del mes,1790.09,MXN,compras,supermercado
Sudadera nueva,91.19,USD,compras,ropa
Pago de agua,909.87,USD,servicios,agua
Compra en Walmart,1683.08,MXN,compras,supermercado
Inscripción a taller,1532.28,MXN,educación,cursos
Snack en la escuela,91.71,MXN,comida,snacks
Chequeo dermatológico,1013.87,USD,salud,especialistas
Pago de estacionamiento,351.87,MXN,transporte,vehículo personal
Concierto local,1212.86,MXN,entretenimiento,eventos
Bebida energética,2369.6,MXN,comida,bebidas
Snack en la escuela,836.7,USD,comida,snacks
Suscripción a Netflix,419.48,USD,entretenimiento,streaming
Membresía online,1812.04,MXN,compras,digital
Desayuno en Starbucks,2398.76,MXN,comida,cafeterías
Concierto local,1722.36,USD,entretenimiento,eventos
Curso online,1608.56,USD,educación,cursos
Inscripción semestre,1098.68,MXN,educación,universidad
Entrada al cine,1605.41,MXN,entretenimiento,cine
Pasaje en autobús,357.15,USD,transporte,público
Juego nuevo PS5,879.1,USD,entretenimiento,videojuegos
Vitaminas,2296.51,USD,salud,bienestar
Consulta médica,1828.38,MXN,salud,medicina general
Medicinas en farmacia,117.9,MXN,salud,medicina general
Material para clases,1836.8,USD,educación,materiales
Pago de luz CFE,661.11,USD,servicios,energía
Suscripción a Netflix,2110.7,MXN,entretenimiento,streaming
Chequeo dermatológico,821.18,MXN,salud,especialistas
Membresía online,2355.76,USD,compras,digital
Taxi al centro,628.95,MXN,transporte,privado
Velas aromáticas,2480.78,MXN,compras,hogar
Inscripción semestre,638.37,USD,educación,universidad
Juego nuevo PS5,1786.16,USD,entretenimiento,videojuegos
Bebida energética,893.89,MXN,comida,bebidas
Accesorios para laptop,1144.16,MXN,compras,tecnología
Agua embotellada,696.08,MXN,comida,bebidas
Pago de luz CFE,132.45,MXN,servicios,energía
Cena en restaurante japonés,1406.62,USD,comida,restaurantes
Pago de renta,111.98,USD,servicios,renta
Pago de renta,1428.36,USD,servicios,renta
Recarga de celular,1728.85,USD,servicios,telefonía
Pago de renta,1683.64,USD,servicios,renta
Desayuno en Starbucks,1584.53,USD,comida,cafeterías
Agua embotellada,553.91,MXN,comida,bebidas
Suscripción a app de edición,1044.88,MXN,compras,digital
Desayuno en Starbucks,116.8,MXN,comida,cafeterías
Velas aromáticas,1320.52,USD,compras,hogar
Decoración para cuarto,657,MXN,compras,hogar
Factura CFE,1441.5,USD,servicios,energía
Vitaminas,147.63,USD,salud,bienestar
Café en el campus,137.56,MXN,comida,cafeterías
Plan familiar Spotify,1869.62,MXN,entretenimiento,streaming
Pasaje en autobús,956.05,MXN,transporte,público
Viaje en Uber,929.23,USD,transporte,privado
Chequeo dermatológico,487.15,USD,salud,especialistas
Pago de renta,2090.2,USD,servicios,renta
Cena en restaurante japonés,1273.03,MXN,comida,restaurantes
Medicinas en farmacia,1486.37,MXN,salud,medicina general
Curso online,2026.78,MXN,educación,cursos
Material para clases,784.02,MXN,educación,materiales
Membresía online,2468.11,USD,compras,digital
Accesorios para laptop,1303.6,USD,compras,tecnología
Juego nuevo PS5,2278.71,MXN,entretenimiento,videojuegos
Ropa en Zara,1202.55,MXN,compras,ropa
Juego nuevo PS5,742.31,USD,entretenimiento,videojuegos
Compra en Amazon Prime,300.2,MXN,compras,tecnología
Taxi al centro,2494.99,MXN,transporte,privado
Libros académicos,653.21,USD,educación,materiales
Decoración para cuarto,1058.68,MXN,compras,hogar
Pago de renta,484.57,MXN,servicios,renta
Plan familiar Spotify,500.6,MXN,entretenimiento,streaming
Gasolina,2238.89,MXN,transporte,vehículo personal
Inscripción semestre,1807.43,USD,educación,universidad
Adelanto de renta,2122.43,MXN,servicios,renta
Viaje en Uber,490.12,MXN,transporte,privado
Pago de colegiatura,1936.15,MXN,educación,universidad
Viaje en Uber,1866,MXN,transporte,privado
Viaje en Uber,1371.18,MXN,transporte,privado
Mandado del mes,158.15,USD,compras,supermercado
Cita con el dentista,2348.4,USD,salud,especialistas
Boleto de metro,933.48,MXN,transporte,público
Factura de agua,1282.13,MXN,servicios,agua
Suscripción a Netflix,217.72,MXN,entretenimiento,streaming
Factura de agua,2065.57,MXN,servicios,agua
Proteína en GNC,2297.67,USD,salud,bienestar
Compra en Amazon Prime,1989.68,MXN,compras,tecnología
Compra en Steam,2467.5,MXN,entretenimiento,videojuegos
Accesorios para laptop,174.32,USD,compras,tecnología
Consulta médica,1049.21,MXN,salud,medicina general
Factura CFE,675.47,USD,servicios,energía
Boleto de metro,1327.47,USD,transporte,público
Compra en Walmart,2034.47,MXN,compras,supermercado
Recarga de celular,2430.61,USD,servicios,telefonía
Boleto de metro,194.21,USD,transporte,público
Inscripción semestre,727.29,MXN,educación,universidad
Taxi al centro,463.63,USD,transporte,privado
Mandado del mes,882.63,USD,compras,supermercado
Pago de colegiatura,1283.85,USD,educación,universidad
Compra en Steam,1400.44,USD,entretenimiento,videojuegos
Botana en OXXO,673.24,USD,comida,snacks
Boleto de metro,2308.42,MXN,transporte,público
Snack en la escuela,670.32,USD,comida,snacks
Viaje en Uber,782.61,MXN,transporte,privado
Internet mensual,965.83,USD,servicios,internet
Pago de renta,2352.44,USD,servicios,renta
Inscripción a taller,1385.28,USD,educación,cursos
Película en cartelera,881.93,MXN,entretenimiento,cine
Ropa en Zara,1482.78,MXN,compras,ropa
Viaje en Uber,980.76,MXN,transporte,privado
Inscripción semestre,852.56,USD,educación,universidad
Velas aromáticas,1742.01,USD,compras,hogar
Pago de renta,487.9,MXN,servicios,renta
Boleto para evento cultural,1730.4,USD,entretenimiento,eventos
Plan familiar Spotify,1198.53,USD,entretenimiento,streaming
Película en cartelera,105.04,MXN,entretenimiento,cine
Pago de colegiatura,651.31,USD,educación,universidad
Gasolina,146.78,MXN,transporte,vehículo personal
Película en cartelera,1952.66,MXN,entretenimiento,cine
Gasolina,836.36,USD,transporte,vehículo personal
Película en cartelera,188.2,MXN,entretenimiento,cine
Pago de estacionamiento,661.94,MXN,transporte,vehículo personal
Vitaminas,797.53,USD,salud,bienestar
Compra en Amazon Prime,173.53,MXN,compras,tecnología
Factura de agua,1968.08,MXN,servicios,agua
Inscripción a taller,1110.48,MXN,educación,cursos
Agua embotellada,2012.35,MXN,comida,bebidas
Plan Telcel mensual,117.21,USD,servicios,telefonía
Proteína en GNC,1044.44,USD,salud,bienestar
Internet mensual,2373.89,MXN,servicios,internet
Pago de Izzi,590.26,MXN,servicios,internet
Adelanto de renta,1692.93,MXN,servicios,renta
Plan Telcel mensual,726.15,USD,servicios,telefonía
Desayuno en Starbucks,2384.87,USD,comida,cafeterías
Chequeo dermatológico,1689.6,MXN,salud,especialistas
Pago de estacionamiento,2439.94,USD,transporte,vehículo personal
Mandado del mes,2276.66,MXN,compras,supermercado
Concierto local,1433.08,USD,entretenimiento,eventos
Pago de luz CFE,153.62,USD,servicios,energía
Taxi al centro,2430.72,USD,transporte,privado
Pago de renta,132.95,USD,servicios,renta
Medicinas en farmacia,457.82,MXN,salud,medicina general
Libros académicos,2064.97,MXN,educación,materiales
Juego nuevo PS5,568.8,MXN,entretenimiento,videojuegos
Suscripción a app de edición,1422.78,USD,compras,digital
Boleto para evento cultural,200.66,MXN,entretenimiento,eventos
Compra en Walmart,970.06,USD,compras,supermercado
Boleto para evento cultural,1188.74,MXN,entretenimiento,eventos
Compra en Steam,88.02,MXN,entretenimiento,videojuegos
Agua embotellada,1523.92,USD,comida,bebidas
Chequeo dermatológico,2421.99,USD,salud,especialistas
Boleto para evento cultural,239.2,MXN,entretenimiento,eventos
Taxi al centro,1106.37,MXN,transporte,privado
Entrada al cine,422.07,MXN,entretenimiento,cine
Taxi al centro,1939.87,USD,transporte,privado
Plan Telcel mensual,2414.33,USD,servicios,telefonía
Proteína en GNC,326.16,USD,salud,bienestar
Plan Telcel mensual,2489.26,MXN,servicios,telefonía
Plan familiar Spotify,541.47,USD,entretenimiento,streaming
Vitaminas,1880.76,USD,salud,bienestar
Vitaminas,586.3,USD,salud,bienestar
Plan familiar Spotify,2004.36,USD,entretenimiento,streaming
Pago de colegiatura,1711.66,USD,educación,universidad
Agua embotellada,422.54,USD,comida,bebidas
Gasolina,1314.65,MXN,transporte,vehículo personal
Taxi al centro,1980,MXN,transporte,privado
Pago de Izzi,1420.01,USD,servicios,internet
Plan Telcel mensual,287.43,USD,servicios,telefonía
Chequeo dermatológico,214.61,USD,salud,especialistas
Recarga de celular,245.61,USD,servicios,telefonía
Inscripción a taller,2214.94,MXN,educación,cursos
Entrada al cine,58.14,MXN,entretenimiento,cine
Café en el campus,1608.37,USD,comida,cafeterías
Café en el campus,466.22,MXN,comida,cafeterías
Botana en OXXO,2420.14,MXN,comida,snacks
Entrada al cine,1514.25,USD,entretenimiento,cine
